Sku,"Global Unique Id",Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_700-watt)","Attribute Value (pa_700-watt)","Attribute In Variations (pa_700-watt)","Attribute Is Visible (pa_700-watt)","Attribute Is Taxonomy (pa_700-watt)","Attribute Name (pa_btu)","Attribute Value (pa_btu)","Attribute In Variations (pa_btu)","Attribute Is Visible (pa_btu)","Attribute Is Taxonomy (pa_btu)","Attribute Name (pa_hvac-attribute)","Attribute Value (pa_hvac-attribute)","Attribute In Variations (pa_hvac-attribute)","Attribute Is Visible (pa_hvac-attribute)","Attribute Is Taxonomy (pa_hvac-attribute)","Attribute Name (pa_hvac-component)","Attribute Value (pa_hvac-component)","Attribute In Variations (pa_hvac-component)","Attribute Is Visible (pa_hvac-component)","Attribute Is Taxonomy (pa_hvac-component)","Attribute Name (pa_refrigerant)","Attribute Value (pa_refrigerant)","Attribute In Variations (pa_refrigerant)","Attribute Is Visible (pa_refrigerant)","Attribute Is Taxonomy (pa_refrigerant)","Attribute Name (pa_technology)","Attribute Value (pa_technology)","Attribute In Variations (pa_technology)","Attribute Is Visible (pa_technology)","Attribute Is Taxonomy (pa_technology)","Attribute Name (pa_voltage)","Attribute Value (pa_voltage)","Attribute In Variations (pa_voltage)","Attribute Is Visible (pa_voltage)","Attribute Is Taxonomy (pa_voltage)","Attribute Name (pa_wattage)","Attribute Value (pa_wattage)","Attribute In Variations (pa_wattage)","Attribute Is Visible (pa_wattage)","Attribute Is Taxonomy (pa_wattage)","Product Type","Shipping Class","Product Visibility","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
"AURUS Mini Split Inverter Series L 20",,596.55,596.55,,outofstock,,,1,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",Condenser|Evaporator,no,yes,yes,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,115V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png,AURUS.png,/srv/htdocs/wp-content/uploads/2024/05/AURUS.png,2748,AURUS,,,"AURUS Mini Split Inverter",https://jan-garay.com/wp-content/uploads/2024/05/AURUS.png
DXFM-1823-2Z,,770,770,,outofstock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp|https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU.webp,DXLC.webp|Flex-Mount-2-Zone-18K-BTU.webp,/srv/htdocs/wp-content/uploads/2025/04/DXLC.webp|/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU.webp,4162|2548,"DXLC|Flex Mount 2 Zone 18K BTU",|,|,"Daizuki Single Zone Inverter Light Commercial Outdoor 12K BTU 25 SEER2 208-230V R410A|Flex Mount 2 Zone 18K BTU",https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp
DXFM-2723-3Z,,1659.38,1659.38,,outofstock,,,0,">700 WATT",,no,no,no,BTU,28K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp,2952,"Flex Mount 2 Zone 18K BTU",,,"Flex Mount 2 Zone 18K BTU",https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-2-Zone-18K-BTU-1-e1734619946876.webp
DXFM-3623-4Z,,1746.00,1746.00,,outofstock,,,0,">700 WATT",,no,no,no,BTU,36K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp|https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-4-Zone-36K-BTU.webp,DXLC.webp|Flex-Mount-4-Zone-36K-BTU.webp,/srv/htdocs/wp-content/uploads/2025/04/DXLC.webp|/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-4-Zone-36K-BTU.webp,4162|2585,"DXLC|Flex Mount 4 Zone 36K BTU",|,|,"Daizuki Single Zone Inverter Light Commercial Outdoor 12K BTU 25 SEER2 208-230V R410A|Flex Mount 4 Zone 36K BTU",https://jan-garay.com/wp-content/uploads/2025/04/DXLC.webp
DXFM-4823-5Z,,3220.58,3220.58,,outofstock,,,0,">700 WATT",,no,no,no,BTU,48K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp,Flex-Mount-5-Zone-48K-BTU.webp,/srv/htdocs/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp,2951,"Flex Mount 5 Zone 48K BTU",,,"Flex Mount 4 Zone 36K BTU",https://jan-garay.com/wp-content/uploads/2024/05/Flex-Mount-5-Zone-48K-BTU.webp
DXAH18E426-21,,600,600,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","Air Handler",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp,Air-Handler.webp,/srv/htdocs/wp-content/uploads/2024/05/Air-Handler.webp,2588,"Air Handler",,,"Daizuki Air Handler 18K BTU 208-230V",https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp
DXAH24E426-20,,610,610,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","Air Handler",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp,Air-Handler.webp,/srv/htdocs/wp-content/uploads/2024/05/Air-Handler.webp,2588,"Air Handler",,,"Daizuki Air Handler 18K BTU 208-230V",https://jan-garay.com/wp-content/uploads/2024/05/Air-Handler.webp
DXCC12E426-21,,325.88,325.88,,instock,,,0,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXCC18E426-20,,340.22,340.22,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
DXCC24E426-24,,377.92,377.92,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute","4-Way Cassette",no,yes,yes,"HVAC Component",Evaporator,no,yes,yes,Refrigerant,R-410A,no,yes,yes,Technology,,no,no,no,Voltage,220V,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp,4-Way-Cassette.webp,/srv/htdocs/wp-content/uploads/2024/05/4-Way-Cassette.webp,2592,"4 Way Cassette",,,"4 Way Cassette",https://jan-garay.com/wp-content/uploads/2024/05/4-Way-Cassette.webp
